response id, user id, condition, stimulus, user_response, correct_response, exposure_duration
R_STsZUZrSUq5FBRL,VastUBX,0_back, t, false, false, 573.1440000052244
R_STsZUZrSUq5FBRL,VastUBX,0_back, B, true, true, 378.679000004362
R_STsZUZrSUq5FBRL,VastUBX,0_back, v, false, false, 385.1850000027189
R_STsZUZrSUq5FBRL,VastUBX,0_back, g, false, false, 569.7289999999557
R_STsZUZrSUq5FBRL,VastUBX,0_back, V, false, false, 456.32900000316295
R_STsZUZrSUq5FBRL,VastUBX,0_back, T, false, false, 348.0870000061259
R_STsZUZrSUq5FBRL,VastUBX,0_back, g, false, false, 382.26800000194635
R_STsZUZrSUq5FBRL,VastUBX,0_back, G, false, false, 317.34700000566954
R_STsZUZrSUq5FBRL,VastUBX,0_back, b, true, true, 428.26400000040303
R_STsZUZrSUq5FBRL,VastUBX,0_back, b, true, true, 441.4760000060196
R_STsZUZrSUq5FBRL,VastUBX,0_back, b, true, true, 348.6499999993539
R_STsZUZrSUq5FBRL,VastUBX,0_back, G, false, false, 408.52300000465766
R_STsZUZrSUq5FBRL,VastUBX,0_back, T, false, false, 422.4430000003049
R_STsZUZrSUq5FBRL,VastUBX,0_back, B, true, true, 381.875999999902
R_STsZUZrSUq5FBRL,VastUBX,0_back, V, false, false, 421.3450000023586
R_STsZUZrSUq5FBRL,VastUBX,0_back, G, false, false, 294.5780000040395
R_STsZUZrSUq5FBRL,VastUBX,0_back, t, false, false, 330.2560000049125
R_STsZUZrSUq5FBRL,VastUBX,0_back, V, false, false, 308.07399999948393
R_STsZUZrSUq5FBRL,VastUBX,0_back, b, false, true, 313.7769999999582
R_STsZUZrSUq5FBRL,VastUBX,0_back, T, false, false, 517.4000000064116
R_STsZUZrSUq5FBRL,VastUBX,0_back, g, false, false, 393.6810000037949
R_STsZUZrSUq5FBRL,VastUBX,0_back, b, true, true, 455.36200000515964
R_STsZUZrSUq5FBRL,VastUBX,0_back, t, false, false, 344.8550000053074
R_STsZUZrSUq5FBRL,VastUBX,0_back, G, false, false, 361.6030000034516
R_STsZUZrSUq5FBRL,VastUBX,0_back, B, true, true, 274.08700000216777
