Scholar ID,Gender,Black or African American,Hispanic or Latinx,Native Hawaiian or Pacific Islander,Asian,American Indian or Alaska Native,White,Family Income,Family Size,Federal Poverty Level Percentage,First Generation College Student,High School,High School Graduation Year,HS Unweighted GPA,HS Weighted GPA,Class Rank,Class Size,SAT Math,SAT Critical Reading,SAT Total,Scholar Status,Scholar Secondary Status,Last Renewal Date,Cohort,SA Cohort,Completed SA as Junior,Completed SA as Senior,# SA Cohorts,SA Chemistry,SA Computer Science,Scholar College,College Forbes Ranking,College Forbes Ranking 2018,Intended Major,Intended Major STEM?,College Graduation Year,# Years of College,# of College Terms,Current Major,Current Major Category,Current Major STEM?,Reported Total GPA,GPA - Freshman Year,GPA - Sophomore Year,GPA - Junior Year,GPA - Senior Year,GPA - Super Senior,College Degree Earned Type,Estimated Student Loans at Graduation,6 Months Post College: Employment Status,6 Months Post College: Graduate School
a013900001c2j35,Female,0,1,0,0,0,0,,2,0,1,Cristo Rey Boston High School,2017,3.64,3.8,3,70,510,,1030,Current Scholar,,2019 Fall,2017,,1,0,1,0,0,Brandeis University,99,97,"BIOLOGICAL AND BIOMEDICAL SCIENCES.: Biology/Biological Sciences, General.",1,2021,4,3,Psychology,Psychology,0,3.29,,,,,,,,,
a013900001XRaGn,Male,1,0,0,0,0,0,51813,6,154,1,Bright Star Secondary Charter Academy,2017,3.67,3.88,,,590,670,1260,Current Scholar,,2019 Fall,2017,2017,1,1,2,0,1,UC Irvine,106,96,HEALTH PROFESSIONS AND RELATED PROGRAMS.: Pre-Medicine/Pre-Medical Studies.,1,2021,4,4,"Biology/Biological Sciences, General.",Biology,1,3.53,,,,,,,,,
a017000001QDC43,Female,0,1,0,0,0,0,60604,8,143,1,Bright Star Secondary Charter Academy,2015,,3.39,,,540,500,1560,Current Scholar,,2019 Spring,2015,2015,1,1,2,1,0,UC Irvine,106,96,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2019,4,9,"Business Administration, Management and Operations.",Business,0,2.65,,,,,,,,,
a013900001WSyKk,Female,0,1,0,0,0,0,8400,8,20,1,Thomas Jefferson High School,2016,4,4.225,1,194,520,490,1530,Current Scholar,,2019 Fall,2016,,1,0,1,0,0,UC Irvine,106,96,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES.: Business Administration, Management and Operations.",0,2020,4,10,Business/Managerial Economics.,Business,0,3.08,,,,,,,,,
a017000001JTOnm,Male,1,0,0,0,0,0,42126,5,143,1,Manual Arts Senior High School,2013,,3.98,,,580,490,1530,Scholar Alumni,,2017 Spring,2013,2013,0,1,1,0,0,UC Irvine,106,96,ENGINEERING.: Engineering.,1,2017,4,11,Computer Science,Computer Science,1,3.35,2.814,3.1,,,,B.S.,,,
a017000001Q7miS,Male,0,1,0,0,0,0,97087,5,330,1,Banning High School,2015,,3.857,35,417,530,580,1630,Current Scholar,,2019 Spring,2015,,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Science.,1,2019,4,9,Computer Science.,Computer Science,1,3.04,,,,,,,,,
a013900001WSySw,Male,0,1,0,0,0,0,40460,8,95,1,Bright Star Secondary Charter Academy,2016,3.62,4.19,4,116,620,600,1880,Current Scholar,,2019 Fall,2016,2016,1,1,2,0,1,UC Irvine,106,96,ENGINEERING.: Engineering.,1,2021,5,7,Computer Science.,Computer Science,1,2.82,,,,,,,,,
a013900001YuMWf,Female,0,1,0,0,0,0,26616,5,90,1,Wallis Annenberg High School,2017,3.954,4.167,,,730,670,1400,Current Scholar,,2019 Fall,2017,2017,0,1,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.: Computer Science.,1,2021,4,5,Computer Science.,Computer Science,1,3.47,,,,,,,,,
a013900001Y0CUm,Male,0,0,0,1,0,0,17922,4,71,1,Downtown Magnets High School,2018,3.857,4.007,6,283,680,550,1230,Current Scholar,,2019 Fall,2018,2017,1,0,1,0,0,UC Irvine,106,96,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES.,1,2022,4,2,Information Technology.,Computer Science,1,3.45,,,,,,,,,
a017000001P6W4I,Female,0,1,0,0,0,0,54160,3,261,1,Gertz Ressler High School,2014,,3.6,,,470,540,1590,Scholar Alumni,,2017 Fall,2014,,1,0,1,0,0,UC Irvine,106,96,UNDECLARED.: Undeclared.,0,2017 W,2.5,9,Education Sciences,Education,0,3.3,3.433,,,,,B.A.,,,
