SAT Composite Score,2018,2017,2016,2015,2014,2013,2012,2011
400,1-,1-,1-,,,,,
410,1-,1-,1-,,,,,
420,1-,1-,1-,,,,,
430,1-,1-,1-,,,,,
440,1-,1-,1-,,,,,
450,1-,1-,1-,,,,,
460,1-,1-,1-,,,,,
470,1-,1-,1-,,,,,
480,1-,1-,1-,,,,,
490,1-,1-,1-,,,,,
500,1-,1-,1-,,,,,
510,1-,1-,1-,,,,,
520,1-,1-,1-,,,,,
530,1-,1-,1-,,,,,
540,1-,1-,1-,,,,,
550,1-,1-,1-,,,,,
560,1-,1-,1-,,,,,
570,1-,1-,1-,,,,,
580,1-,1-,1-,,,,,
590,1-,1-,1-,,,,,
600,1-,1-,1-,,,,,
2070,,,,95,95,95,96,96 
2080,,,,96,96,96,96,96 
2090,,,,96,96,96,96,96 
2100,,,,96,96,96,96,96 
2110,,,,97,96,97,97,97
2120,,,,97,97,97,97,97 
2130,,,,97,97,97,97,97 
2140,,,,97,97,97,97,97 
2150,,,,97,97,97,97,98
2160,,,,98,98,98,98,98 
2170,,,,98,98,98,98,98 
2180,,,,98,98,98,98,98 
2190,,,,98,98,98,98,98 
2200,,,,98,98,98,98,98 
2210,,,,98,98,98,99,99 
2220,,,,99,99,99,99,99 
2230,,,,99,99,99,99,99 
2240,,,,99,99,99,99,99 
2250,,,,99,99,99,99,99 
2260,,,,99,99,99,99,99 
2270,,,,99,99,99,99,99 
2280,,,,99,99,99,99,99 
2290,,,,99,99,99,99,100 
2300,,,,99,99,100,99,100 
2310,,,,100,100,100,100,100 
2320,,,,100,100,100,100,100 
2330,,,,100,100,100,100,100 
2340,,,,100,100,100,100,100 
2350,,,,100,100,100,100,100 
2360,,,,100,100,100,100,100 
2370,,,,100,100,100,100,100 
2380,,,,100,100,100,100,100 
2390,,,,100,100,100,100,100 
2400,,,,100,100,100,100,100 
